k;Avg Maxflow;Aug paths;Time
13;18610;3375;11115.9
13;13360;2540;8302.64
13;15259;3259;14856.8
13;10664;2179;7377.05
13;3703;871;2758.33
13;4504;865;2680.23
13;7022;1290;3903.58
13;13517;2461;7318.5
13;14422;2797;8654.58
13;6275;1242;3684.9
13;7029;1352;4057.92
13;15756;3793;11240.7
13;5178;1077;3149.23
13;7914;1489;4516.19
13;5954;1271;3717.67
13;6342;1336;3954.5
13;12492;2521;7528.54
13;7561;1428;4175.91
13;4029;816;2427.64
13;12163;2860;8653.92
13;5193;987;2912.22
13;4960;1054;3098.74
13;7784;1542;4499.05
13;3925;769;2271.93
13;24415;4381;14184.6
13;7266;1518;4718.48
13;12592;2271;6752.15
13;8791;1767;5331.35
13;8051;1567;4699.06
13;12185;2248;6941.67
13;12612;2174;6608.63
13;6020;1091;3416.46
13;3726;876;2709.43
13;7250;1423;4259.29
13;11500;2073;6070.26
13;8574;1902;5587.09
13;15004;2807;8063.57
13;20021;3641;10624.3
13;3874;776;2226.07
13;8466;1529;4507.99
13;9427;1859;5575.48
13;2937;604;1798.21
13;5195;1136;3365.06
13;11301;2107;6176.45
13;10053;1994;5854.45
13;4698;1010;2995.99
13;9867;1929;5603.7
13;6844;1359;3911.58
13;6367;1302;3953.94
13;20215;3779;16243.2
13;1919;441;1568.8
13;6826;1394;5479.46
13;1952;390;1732.04
13;5666;1263;5646.9
13;4404;845;3601.4
13;14374;3438;13582.9
13;6209;1127;4969.71
13;12454;2309;8605.99
14;21119;3389;37339.4
14;12522;2122;21077.5
14;2813;475;4351.39
14;20795;3034;27183
14;14540;2286;20872.7
14;9179;1630;14969.3
14;26504;3794;35115
14;11858;1887;17396.5
14;16248;2679;25029.8
14;30818;4516;41836.9
14;27569;4926;46075.4
14;36302;5633;52605.1
14;7935;1083;10017.1
14;17481;2585;23863.5
14;7058;1245;11443.6
14;20532;2941;26852.9
14;13291;2045;18488.4
14;9593;1442;13805.5
14;16516;2747;25433
14;8395;1334;13255.8
14;10901;1915;17987.8
14;10176;1334;12481.5
14;4260;734;6719.3
14;17337;2810;25796.9
14;15277;2541;23479.2
14;23241;3800;35156
14;25219;3781;35046.7
14;32417;4686;43160.6
14;23574;3538;32963.4
14;15485;2195;20084
14;30299;4386;40144.3
14;16506;2589;23867.4
14;26031;3815;35346
14;21446;2950;27035.4
14;18209;2718;25317.8
14;24274;3725;34531
14;32540;4627;42935.5
14;12334;1897;17415.6
14;17787;2795;25599.5
14;4227;825;7619.97
14;10800;1737;15879.5
14;7893;1285;11991.9
